,driverid,Total Miles,model,Model Miles,truckid,event,latitude,longitude,city,state,velocity,event_ind,idling_ind,COUNTY,County,TOTAL_CRASHES,ROAD_MILES,Danger,event_weight
0,A1,628507,Freightliner,3228841,A1,normal,36.977173,-121.899402,Aptos,California,75,0,0,,,,,1.0,0.0
1,A1,628507,Freightliner,3228841,A1,normal,35.098865,-120.612393,Oceano,California,34,0,0,,,,,1.0,0.0
2,A1,628507,Freightliner,3228841,A1,normal,37.005782,-121.568275,Gilroy,California,19,0,0,,,,,1.0,0.0
3,A1,628507,Freightliner,3228841,A1,normal,37.639097,-120.996878,Modesto,California,75,0,0,,,,,1.0,0.0
4,A1,628507,Freightliner,3228841,A1,normal,34.579434,-118.116461,Palmdale,California,55,0,0,,,,,1.0,0.0
5,A1,628507,Freightliner,3228841,A1,normal,34.579434,-118.116461,Palmdale,California,34,0,0,,,,,1.0,0.0
6,A1,628507,Freightliner,3228841,A1,normal,35.098865,-120.612393,Oceano,California,64,0,0,,,,,1.0,0.0
7,A1,628507,Freightliner,3228841,A1,normal,34.579434,-118.116461,Palmdale,California,43,0,0,,,,,1.0,0.0
8,A1,628507,Freightliner,3228841,A1,normal,37.005782,-121.568275,Gilroy,California,0,0,1,,,,,1.0,0.0
9,A1,628507,Freightliner,3228841,A1,normal,37.005782,-121.568275,Gilroy,California,18,0,0,,,,,1.0,0.0
10,A1,628507,Freightliner,3228841,A1,normal,39.017396,-122.057748,Arbuckle,California,64,0,0,,,,,1.0,0.0
11,A1,628507,Freightliner,3228841,A1,normal,37.639097,-120.996878,Modesto,California,16,0,0,,,,,1.0,0.0
12,A1,628507,Freightliner,3228841,A1,normal,34.579434,-118.116461,Palmdale,California,0,0,1,,,,,1.0,0.0
13,A1,628507,Freightliner,3228841,A1,normal,35.098865,-120.612393,Oceano,California,0,0,1,,,,,1.0,0.0
14,A1,628507,Freightliner,3228841,A1,normal,38.716687,-121.364422,Antelope,California,54,0,0,,,,,1.0,0.0
15,A1,628507,Freightliner,3228841,A1,normal,34.106676,-117.806726,San Dimas,California,69,0,0,,,,,1.0,0.0
16,A1,628507,Freightliner,3228841,A1,normal,34.106676,-117.806726,San Dimas,California,19,0,0,,,,,1.0,0.0
17,A1,628507,Freightliner,3228841,A1,normal,37.639097,-120.996878,Modesto,California,55,0,0,,,,,1.0,0.0
