,model,event,event_count,Model Miles,event_per_mil_mile
0,Caterpillar,lane departure,20.893769968051117,12340709,1.6930769510934192
1,Caterpillar,unsafe following distance,20.0,12340709,1.6206524276684589
2,Caterpillar,unsafe tail distance,6.494537939179215,12340709,0.5262694338857852
3,Crane,lane departure,1.0,1272409,0.7859108195556618
4,Crane,unsafe following distance,4.0,1272409,3.143643278222647
5,Crane,unsafe tail distance,2.0,1272409,1.5718216391113236
6,Ford,lane departure,28.4648439164148,12941439,2.199511500723745
7,Ford,unsafe following distance,33.981230098877155,12941439,2.6257690585163793
8,Ford,unsafe tail distance,10.0,12941439,0.7727115972188255
9,Freightliner,lane departure,10.0,3228841,3.097086539721219
10,Freightliner,unsafe following distance,7.0,3228841,2.167960577804853
11,Freightliner,unsafe tail distance,4.0,3228841,1.2388346158884875
12,Hino,lane departure,9.893769968051117,4579929,2.160245271935682
13,Hino,unsafe following distance,13.0,4579929,2.838471950111017
14,Hino,unsafe tail distance,7.0,4579929,1.5284079731367015
15,Kenworth,lane departure,11.0,3921818,2.804821641391824
16,Kenworth,unsafe following distance,7.770492624408325,3921818,1.9813496252014564
17,Kenworth,unsafe tail distance,5.0,3921818,1.2749189279053745
18,Navistar,lane departure,10.0,5851376,1.7089997292944428
19,Navistar,unsafe following distance,8.388307907230333,5851376,1.4335615942695072
20,Navistar,unsafe tail distance,5.0,5851376,0.8544998646472214
21,Oshkosh,lane departure,8.0,2589782,3.089063094885979
22,Oshkosh,unsafe following distance,9.403254441188086,2589782,3.630905783262099
23,Oshkosh,unsafe tail distance,1.0,2589782,0.38613288686074737
24,Peterbilt,lane departure,22.494537939179214,10361566,2.17095928734896
25,Peterbilt,unsafe following distance,30.0,10361566,2.8953152448191712
26,Peterbilt,unsafe tail distance,13.98907587835843,10361566,1.3500928217181098
27,Volvo,lane departure,11.651531717902603,5807613,2.006251401032163
28,Volvo,unsafe following distance,13.893769968051117,5807613,2.3923374315835297
29,Volvo,unsafe tail distance,4.770492624408325,5807613,0.821420543071366
30,Western Star,lane departure,5.0,1941337,2.575544586024992
31,Western Star,unsafe tail distance,1.0,1941337,0.5151089172049984
