,driverid,Total Miles,model,Model Miles,Model Risk Factor
0,A1,628507,Freightliner,3228841,6.503881733414559
1,A2,664543,Ford,12941439,5.597992156458949
2,A3,639584,Ford,12941439,5.597992156458949
3,A4,663289,Kenworth,3921818,6.0610901944986555
4,A5,676574,Hino,4579929,6.527125195183401
5,A6,648479,Caterpillar,12340709,3.8399988126476634
6,A7,653787,Ford,12941439,5.597992156458949
7,A8,653991,Navistar,5851376,3.9970611882111715
8,A9,665456,Volvo,5807613,5.2200093756870585
9,A10,675377,Peterbilt,10361566,6.416367353886241
10,A11,652452,Peterbilt,10361566,6.416367353886241
11,A12,668241,Caterpillar,12340709,3.8399988126476634
12,A13,654319,Oshkosh,2589782,7.106101765008825
13,A14,649645,Crane,1272409,5.501375736889632
14,A15,651036,Ford,12941439,5.597992156458949
15,A16,638086,Navistar,5851376,3.9970611882111715
16,A17,663821,Western Star,1941337,3.09065350322999
17,A18,656474,Caterpillar,12340709,3.8399988126476634
18,A19,660363,Caterpillar,12340709,3.8399988126476634
19,A20,631496,Western Star,1941337,3.09065350322999
20,A21,649327,Hino,4579929,6.527125195183401
21,A22,652995,Caterpillar,12340709,3.8399988126476634
22,A23,639663,Ford,12941439,5.597992156458949
23,A24,675334,Navistar,5851376,3.9970611882111715
24,A25,645355,Volvo,5807613,5.2200093756870585
25,A26,621790,Peterbilt,10361566,6.416367353886241
26,A27,670601,Peterbilt,10361566,6.416367353886241
27,A28,655680,Caterpillar,12340709,3.8399988126476634
28,A29,629256,Ford,12941439,5.597992156458949
29,A30,647312,Ford,12941439,5.597992156458949
30,A31,668620,Kenworth,3921818,6.0610901944986555
31,A32,627218,Hino,4579929,6.527125195183401
32,A33,652047,Caterpillar,12340709,3.8399988126476634
33,A34,655656,Freightliner,3228841,6.503881733414559
34,A35,637069,Ford,12941439,5.597992156458949
35,A36,649314,Ford,12941439,5.597992156458949
36,A37,644152,Kenworth,3921818,6.0610901944986555
37,A38,650497,Hino,4579929,6.527125195183401
38,A39,652417,Caterpillar,12340709,3.8399988126476634
39,A40,643126,Ford,12941439,5.597992156458949
40,A41,632604,Navistar,5851376,3.9970611882111715
41,A42,634462,Volvo,5807613,5.2200093756870585
42,A43,640233,Peterbilt,10361566,6.416367353886241
43,A44,652599,Peterbilt,10361566,6.416367353886241
44,A45,638204,Caterpillar,12340709,3.8399988126476634
45,A46,640660,Volvo,5807613,5.2200093756870585
46,A47,623836,Peterbilt,10361566,6.416367353886241
47,A48,631133,Peterbilt,10361566,6.416367353886241
48,A49,627335,Caterpillar,12340709,3.8399988126476634
49,A50,640069,Oshkosh,2589782,7.106101765008825
50,A51,622764,Crane,1272409,5.501375736889632
51,A52,684131,Ford,12941439,5.597992156458949
52,A53,644379,Navistar,5851376,3.9970611882111715
53,A54,646020,Western Star,1941337,3.09065350322999
54,A55,642144,Caterpillar,12340709,3.8399988126476634
55,A56,655671,Caterpillar,12340709,3.8399988126476634
56,A57,648804,Freightliner,3228841,6.503881733414559
57,A58,663069,Ford,12941439,5.597992156458949
58,A59,650987,Ford,12941439,5.597992156458949
59,A60,653030,Caterpillar,12340709,3.8399988126476634
60,A61,644254,Freightliner,3228841,6.503881733414559
61,A62,626253,Ford,12941439,5.597992156458949
62,A63,626584,Ford,12941439,5.597992156458949
63,A64,641824,Kenworth,3921818,6.0610901944986555
64,A65,658913,Hino,4579929,6.527125195183401
65,A66,660413,Caterpillar,12340709,3.8399988126476634
66,A67,647934,Ford,12941439,5.597992156458949
67,A68,672089,Navistar,5851376,3.9970611882111715
68,A69,637123,Volvo,5807613,5.2200093756870585
69,A70,636786,Peterbilt,10361566,6.416367353886241
70,A71,672026,Peterbilt,10361566,6.416367353886241
71,A72,648414,Caterpillar,12340709,3.8399988126476634
72,A73,642222,Oshkosh,2589782,7.106101765008825
73,A74,638910,Kenworth,3921818,6.0610901944986555
74,A75,652379,Hino,4579929,6.527125195183401
75,A76,653351,Caterpillar,12340709,3.8399988126476634
76,A77,663403,Ford,12941439,5.597992156458949
77,A78,638626,Navistar,5851376,3.9970611882111715
78,A79,655093,Volvo,5807613,5.2200093756870585
79,A80,681115,Peterbilt,10361566,6.416367353886241
80,A81,645273,Peterbilt,10361566,6.416367353886241
81,A82,631722,Caterpillar,12340709,3.8399988126476634
82,A83,653172,Oshkosh,2589782,7.106101765008825
83,A84,651620,Freightliner,3228841,6.503881733414559
84,A85,635947,Ford,12941439,5.597992156458949
85,A86,629558,Ford,12941439,5.597992156458949
86,A87,665023,Kenworth,3921818,6.0610901944986555
87,A88,665021,Hino,4579929,6.527125195183401
88,A89,652530,Caterpillar,12340709,3.8399988126476634
89,A90,658883,Ford,12941439,5.597992156458949
90,A91,650337,Navistar,5851376,3.9970611882111715
91,A92,618049,Volvo,5807613,5.2200093756870585
92,A93,645930,Navistar,5851376,3.9970611882111715
93,A94,676750,Volvo,5807613,5.2200093756870585
94,A95,642920,Peterbilt,10361566,6.416367353886241
95,A96,640287,Peterbilt,10361566,6.416367353886241
96,A97,631199,Caterpillar,12340709,3.8399988126476634
97,A98,634665,Volvo,5807613,5.2200093756870585
98,A99,640800,Peterbilt,10361566,6.416367353886241
99,A100,634338,Peterbilt,10361566,6.416367353886241
